Symbol,Date,Expiry,Option type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int,Change in OI,Underlying Value  
ITC,01-Jul-2024,25-Jul-2024,CE,430.00,8.70,9.80,7.15,9.55,9.60,9.55,10930.00,76721.11,1522.71,8964800.00,1792000.00,429.05
ITC,02-Jul-2024,25-Jul-2024,CE,430.00,9.85,10.05,6.60,7.30,7.40,7.30,9032.00,63291.17,1151.01,8552000.00,-412800.00,425.50
ITC,03-Jul-2024,25-Jul-2024,CE,430.00,7.50,8.35,6.90,7.45,7.50,7.45,9421.00,65955.65,1139.17,11467200.00,2915200.00,428.30
ITC,04-Jul-2024,25-Jul-2024,CE,430.00,7.50,9.20,6.95,7.55,7.50,7.55,7072.00,49562.69,907.33,11275200.00,-192000.00,429.05
ITC,05-Jul-2024,25-Jul-2024,CE,430.00,7.70,10.20,7.05,9.80,9.90,9.80,10290.00,72280.13,1484.93,10272000.00,-1003200.00,433.65
ITC,08-Jul-2024,25-Jul-2024,CE,430.00,9.90,18.85,9.65,17.70,17.90,17.70,10208.00,72398.84,2167.80,7924800.00,-2347200.00,443.60
ITC,09-Jul-2024,25-Jul-2024,CE,430.00,19.00,28.00,17.55,25.50,24.75,25.50,3354.00,24332.35,1256.83,7156800.00,-768000.00,452.60
ITC,10-Jul-2024,25-Jul-2024,CE,430.00,25.60,25.85,19.90,23.50,22.95,23.50,912.00,6615.82,341.26,7038400.00,-118400.00,451.45
ITC,11-Jul-2024,25-Jul-2024,CE,430.00,21.95,30.90,21.65,30.05,30.20,30.05,513.00,3748.35,218.91,6921600.00,-116800.00,458.65
ITC,12-Jul-2024,25-Jul-2024,CE,430.00,30.25,33.35,26.40,30.40,30.10,30.40,251.00,1848.48,121.60,6876800.00,-44800.00,459.05
ITC,15-Jul-2024,25-Jul-2024,CE,430.00,29.00,37.40,29.00,34.75,34.05,34.75,312.00,2319.22,172.66,6748800.00,-128000.00,463.40
ITC,16-Jul-2024,25-Jul-2024,CE,430.00,33.80,37.50,33.25,37.10,37.15,37.10,109.00,811.85,61.93,6712000.00,-36800.00,465.55
ITC,18-Jul-2024,25-Jul-2024,CE,430.00,36.65,41.90,35.05,41.20,41.75,41.20,137.00,1028.67,86.11,6683200.00,-28800.00,470.25